================================================================================
SciAssist Fine-Tuning
================================================================================
Autodetected device type: cuda
/usr/local/lib/python3.12/dist-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
2025-11-25 18:26:03,731 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1

Device: cuda
World size: 1

Loading base model...
2025-11-25 18:26:05,422 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Model loaded: 20 layers, ~561M parameters

Loading datasets...
Train: 12000, Val: 4000

Training configuration:
  Batch size (per device): 8
  Gradient accumulation steps: 8
  Total iterations: 748

Initializing optimizers...
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
✓ Tokenizer copied to finetuned_model_checkpoint/tokenizer

Starting training...
--------------------------------------------------------------------------------
Step 00000 | Val loss: 1.967224
  → New best! (was inf)
Step 00000/00748 | Train loss: 1.868409 | LR: 1.0000 | Tok/s: 1001 | Time: 12.33s
Step 00001/00748 | Train loss: 1.893616 | LR: 0.9987 | Tok/s: 10971 | Time: 1.10s
Step 00002/00748 | Train loss: 2.136029 | LR: 0.9973 | Tok/s: 12253 | Time: 0.96s
Step 00003/00748 | Train loss: 1.957988 | LR: 0.9960 | Tok/s: 11911 | Time: 1.18s
Step 00004/00748 | Train loss: 1.620537 | LR: 0.9947 | Tok/s: 12860 | Time: 1.10s
Step 00005/00748 | Train loss: 2.036967 | LR: 0.9933 | Tok/s: 12591 | Time: 1.06s
Step 00006/00748 | Train loss: 1.915300 | LR: 0.9920 | Tok/s: 12141 | Time: 1.08s
Step 00007/00748 | Train loss: 1.832269 | LR: 0.9906 | Tok/s: 10727 | Time: 1.12s
Step 00008/00748 | Train loss: 1.889673 | LR: 0.9893 | Tok/s: 11589 | Time: 0.95s
Step 00009/00748 | Train loss: 1.853370 | LR: 0.9880 | Tok/s: 12714 | Time: 0.98s
Step 00010/00748 | Train loss: 1.701562 | LR: 0.9866 | Tok/s: 10281 | Time: 1.04s
Step 00011/00748 | Train loss: 1.925225 | LR: 0.9853 | Tok/s: 11188 | Time: 1.04s
Step 00012/00748 | Train loss: 1.891560 | LR: 0.9840 | Tok/s: 12587 | Time: 1.06s
Step 00013/00748 | Train loss: 1.805444 | LR: 0.9826 | Tok/s: 12487 | Time: 1.06s
Step 00014/00748 | Train loss: 1.753660 | LR: 0.9813 | Tok/s: 11810 | Time: 0.95s
Step 00015/00748 | Train loss: 1.867690 | LR: 0.9799 | Tok/s: 12487 | Time: 1.04s
Step 00016/00748 | Train loss: 1.898584 | LR: 0.9786 | Tok/s: 13741 | Time: 0.91s
Step 00017/00748 | Train loss: 1.966753 | LR: 0.9773 | Tok/s: 12828 | Time: 0.91s
Step 00018/00748 | Train loss: 1.681525 | LR: 0.9759 | Tok/s: 13428 | Time: 1.21s
Step 00019/00748 | Train loss: 2.019635 | LR: 0.9746 | Tok/s: 12163 | Time: 0.94s
Step 00020/00748 | Train loss: 1.783525 | LR: 0.9733 | Tok/s: 11756 | Time: 1.00s
